"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Vehicle.Year"
"159",1365132286,"63506JM","NY","COM","05/06/2000",46,"VAN","INTER","P",19,19,19,951012,"0019","0000","0439P","","NY","F","501","E 79 ST","BBBBBBB","ALL","ALL","BROWN",2001
"162",1369626149,"46888JY","NY","COM","05/10/2000",78,"VAN","DODGE","P",7,7,7,944944,"0007","0000","0945P","","NY","F","265","CHERRY ST","BBBBBBB","ALL","ALL","YELLO",2008
"163",1366928817,"JKB9734","PA","PAS","05/10/2000",46,"SDN","BMW","P",34,34,34,941557,"0034","0000","0418P","","NY","F","117","DYCKMAN ST","BBBBBBB","ALL","ALL","BLACK",2006
"164",1368935205,"FCY2395","NY","PAS","05/11/2000",21,"SUBN","JEEP","S",32,32,0,588837,"ME10","0000","1142A","","NY","F","101","WEST 132 STREET","YBBYBBB","1130A","0100P","BLACK",2008
"166",1367334287,"EC1122","NC","PAS","05/13/2000",46,"VAN","FORD","P",6,6,6,942442,"0006","0000","0704P","","NY","F","690","WASHINGTON ST","BBBBBBB","ALL","ALL","WHITE",0
"168",1355643727,"LA17989","NC","PAS","06/29/2000",77,"BUS","VAN H","P",7,7,7,940695,"0007","0000","0227P","","NY","F","3","PIKE STREET","BBBBBBB","ALL","ALL","WH",0
"170",1356339189,"JFC3114","PA","PAS","07/13/2000",14,"SUBN","JEEP","P",6,6,6,929268,"0006","0000","0800P","","NY","F","401","6 AVE","BBBBBBB","0400P","1200A","",0
"171",1355835320,"97029JE","NY","COM","07/16/2000",70,"VAN","","P",9,9,9,904116,"0009","0000","1055A","","NY","O","85","4TH AVE","BBBBBBB","ALL","ALL","BROWN",1990
"173",1344595534,"GGV3116","NY","PAS","07/20/2000",71,"SUBN","BMW","P",34,34,34,946185,"0034","0000","1025P","","NY","F","233","DYCKMAN","BBBBBBB","ALL","ALL","WHT",2013
"181",1355014037,"88921MB","99","COM","07/28/2000",74,"DELV","FRUEH","P",17,17,17,917425,"0017","0000","1050A","","NY","F","800","3RD","BBBBBBB","ALL","ALL","B",0
"189",1359253919,"49SD07","NY","MOT","08/01/2000",98,"MOTO","HONDA","P",18,18,18,929923,"0018","0000","0824A","","NY","O","550","W 54 ST","BBBBBBB","ALL","ALL","",0
"195",1359909254,"FRY961","VT","PAS","08/02/2000",19,"VAN","ME/BE","P",1,1,401,917967,"0401","0000","0223P","","NY","O","125","BROAD ST","BBBBBBB","ALL","ALL","GN",0
"196",1357091151,"DNX5145","NY","PAS","08/03/2000",20,"","HONDA","P",32,32,32,932537,"0032","0000","0144A","","NY","O","111","W 135 ST","BBBBBBB","ALL","ALL","GRAY",2003
"198",1354699518,"63611JM","NY","COM","08/07/2000",46,"VAN","GMC","X",20,20,20,932333,"0020","0000","0640P","","NY","F","247","W 72 ST","BBBBBBB","ALL","ALL","GRAY",1988
"201",1359980386,"99573MB","NY","COM","08/09/2000",47,"DELV","","P",17,17,401,915796,"0401","0000","0855A","","NY","F","458","3RD AVE","YYYYYYB","0700A","0700P","RED",2003
"205",1353440175,"28510PC","99","COM","08/12/2000",14,"DELV","MERCU","P",17,17,401,938460,"0401","0000","0435P","","NY","F","920","3 AVE","YYYYYBB","0400P","0700P","BL",2014
"206",1353440072,"60390JX","NY","COM","08/13/2000",46,"VAN","FORD","P",20,20,401,935460,"0401","0000","0615P","","NY","","","C/O E 85","BBBBBBB","ALL","ALL","WH",2007
"207",1353281140,"50296JT","NY","COM","08/14/2000",38,"VAN","DODGE","P",14,14,420,931498,"0420","0000","0628A","","NY","F","214","W 39TH ST","BBBBBBB","ALL","ALL","WHITE",2005
"211",1354999400,"DYN6839","NY","PAS","08/18/2000",74,"SDN","HONDA","P",17,17,17,949117,"0017","0000","0230P","","NY","F","875","3TH AVE","BBBBBBB","ALL","ALL","SILVE",2002
"214",1359495113,"55003MB","NY","COM","08/20/2000",46,"VAN","FRUEH","P",23,23,23,935444,"0023","0000","1145A","","NY","F","1915","3RD AVE","BBBBBBB","ALL","ALL","BW",2012
"215",1356358550,"GDX6055","NY","PAS","08/24/2000",27,"SDN","NISSA","P",10,10,10,951687,"0010","0000","0135P","","NY","F","289","10 AVE","BBBBBBB","ALL","ALL","BLK",1998
"216",1333718391,"G94BRZ","NJ","PAS","08/24/2000",14,"SDN","FORD","T",14,14,108,345264,"T108","0000","1045P","","NY","F","1","W 39 ST","YYYYYYY","1000P","0600A","GY",0
"224",1359814322,"86672MC","NY","COM","09/09/2000",78,"TWOD","SMART","P",33,33,33,941505,"0033","0000","1245A","","NY","F","539","W 162ND ST","BBBBBBB","ALL","ALL","YL",2013
"226",1351310150,"FJP8864","NY","PAS","09/13/2000",21,"SDN","VOLVO","S",32,32,0,505412,"MN10","0000","1201P","","NY","F","204","WEST 140 STREET","BYBBYBB","1130A","0100P","GRAY",2009
"230",1358033020,"FTB9549","NY","PAS","09/22/2000",14,"SUBN","ME/BE","P",14,14,14,926770,"0014","0000","0312A","","NY","F","38","W 39","BBBBBBB","ALL","ALL","WHITE",2007
"232",1361281698,"93740PA","NY","999","09/23/2000",14,"DELV","MACK","P",18,18,161,953138,"0161","0000","1208P","","NY","O","226","W 47 ST","BBBBBBB","ALL","ALL","WHITE",0
"234",1359243240,"XR458W","NJ","PAS","09/23/2000",45,"DELV","FORD","P",18,18,18,904597,"0018","0000","0835A","","NY","F","207","W 58 ST","BBBBBBB","ALL","ALL","",0
"238",1359905479,"9F65D","NY","SRF","09/28/2000",50,"SDN","FORD","P",6,6,6,933665,"0006","0000","0109A","","NY","F","29","7TH AVE SOUTH","BBBBBBB","ALL","ALL","YELLO",2011
"246",1361471300,"49781MX","NY","COM","10/04/2000",19,"DELV","HINO","X",14,14,401,917677,"0401","0000","0321P","","NY","F","184","5 AVE","BBBBBBB","ALL","ALL","RD",2011
"248",1358121450,"70149JU","NY","COM","10/04/2000",46,"VAN","CHEVR","P",1,1,1,898022,"0001","0000","1050A","","NY","F","106","DUANE ST","BBBBBBB","ALL","ALL","BLUE",2006
"249",1356447971,"GHE7403","NY","PAS","10/04/2000",46,"SUBN","ROVER","P",30,30,30,949345,"0030","0000","0407P","","NY","F","1786","AMSTERDAM AVE","BBBBBBB","ALL","ALL","GRAY",2008
"250",1354992910,"JZ3ADJ","NJ","PAS","10/04/2000",14,"SUBN","NISSA","P",7,7,17,949050,"0017","0000","1145P","","NY","O","152","LUDLOW ST","BBBBYYY","1100P","0600A","GRAY",0
"253",1361562195,"VXF77C","NJ","PAS","10/06/2000",20,"SDN","TOYOT","P",18,18,18,978742,"0018","0000","0404P","","NY","F","330","W 55 ST","YYYYYBB","0800A","ALL","GY",0
"254",1359522906,"X59ABA","NJ","PAS","10/06/2000",68,"VAN","FORD","P",25,25,25,949211,"0025","0000","1132A","","NY","O","1901","MADISON AVE","BBBBBBB","ALL","ALL","BLUE",0
"255",1361827919,"55006MB","NY","COM","10/07/2000",46,"DELV","FR/LI","P",23,23,23,935698,"0023","0000","0636P","","NY","F","1660","MADISON AVE","BBBBBBB","ALL","ALL","BRN",2012
"259",1361311850,"XP904V","NJ","PAS","10/08/2000",38,"SUBN","CHEVR","P",14,14,161,953284,"0161","0000","1242P","","NY","O","311","W 35 ST","YYYYYYB","0600A","0700P","BLUE",0
"260",1361471189,"81738JN","NY","COM","10/09/2000",46,"DELV","MERCU","P",24,24,401,915560,"0401","0000","0834A","","NY","F","747","AMSTERDAM AVE","BBBBBBB","ALL","ALL","WH",2004
"261",1361537346,"1684203","MA","COM","10/09/2000",47,"TRLR","MERCU","P",14,14,401,935975,"0401","0000","0832A","","NY","O","324","7 AVE","BBBBBBB","ALL","ALL","W",0
"263",1355607723,"FTT9109","NY","PAS","10/15/2000",71,"SDN","FRUEH","P",6,6,442,933203,"0442","0000","0741P","","NY","F","277","W 10TH","BBBBBBB","ALL","ALL","GRAY",2002
"264",1356564665,"94SA56","NY","MOT","10/16/2000",71,"SDN","","T",1,1,504,343900,"T504","0000","0847A","","NY","F","2","RIVER TERRACE","BBBBBBB","ALL","ALL","GR",0
"265",1361525721,"2188771","99","999","10/16/2000",47,"VAN","VOLVO","P",17,17,401,915560,"0401","0000","0704A","","NY","F","334","E 80 ST","BBBBBBB","0700A","0700P","BLUE",0
"266",1361545872,"AK765E","NJ","PAS","10/16/2000",46,"DELV","INTER","P",19,19,401,926723,"0401","0000","0803A","","NY","F","1105","3RD AVE","BBBBBBB","ALL","ALL","GR",0
"267",1359830054,"DSE2738","PA","PAS","10/21/2000",20,"SUBN","MERCU","P",30,30,30,939529,"0030","0000","1220A","","NY","O","51","HAMILTON PLACE","BBBBBBB","ALL","ALL","BEIGE",1993
"269",1359223757,"AD47063","AZ","PAS","10/24/2000",40,"VAN","CHEVR","P",18,18,18,947348,"0018","0000","0218A","","NY","F","614","W 45 ST","BBBBBBB","ALL","ALL","WHITE",0
"282",1361536913,"31112PC","NY","IRP","11/06/2000",47,"DELV","MERCU","P",14,14,401,915748,"0401","0000","0135P","","NY","O","416","9TH AVE","YYYYYBB","0700A","0700P","RED",0
"285",1361817288,"AK913C","NJ","PAS","11/07/2000",46,"","FRUEH","P",23,23,23,940864,"0023","0000","1023A","","NY","O","1596","LEXINGTON","BBBBBBB","ALL","ALL","GR",0
"286",1345667334,"FGR5101","NY","PAS","11/07/2000",24,"SDN","HONDA","P",7,7,804,933662,"0804","0000","0901P","0850P","NY","O","40","JACKSON ST","BBBBBBB","ALL","ALL","SILVE",2002
"290",1361844310,"55026MB","NY","COM","11/13/2000",46,"VAN","","P",23,23,23,935698,"0023","0000","0440P","","NY","F","1751","LEXINGTON AVE","BBBBBBB","ALL","ALL","BROWN",2012
"294",1361350659,"OL4001H","NJ","PAS","11/19/2000",51,"SDN","CADIL","P",28,28,28,932926,"0028","0000","0221A","","NY","F","2040","8TH AVE","BBBBBBB","ALL","ALL","SILVE",0
"297",1359233519,"AP937R","NY","COM","11/23/2000",46,"DELV","MERCU","X",18,18,18,946322,"0018","0000","0840A","","NY","F","1379","6 AVE","BBBBBBB","ALL","ALL","WHT",0
"306",1360439614,"30985JQ","NY","COM","12/05/2000",14,"DELV","FRUEH","P",1,1,1,950371,"0001","0000","0535P","","NY","F","116","GREENE","BBBBBBB","ALL","ALL","",0
"308",1362332173,"76098JY","NY","COM","12/11/2000",19,"","INTER","P",32,32,320,939001,"0320","0000","1037A","","NY","F","2817","8TH AVE","BBBBBBB","ALL","ALL","WHITE",2007
"310",1358625300,"24914MD","NY","COM","12/12/2000",14,"VAN","FORD","X",25,25,25,905798,"0025","0000","0515P","","NY","F","124","E 124 ST","BBBBBBB","0400P","0700P","BROWN",2002
"311",1362050817,"56005MA","NY","COM","12/12/2000",78,"SUBN","FORD","P",6,6,6,938837,"0006","0000","1249A","","NY","F","117","WAVERLY PL","BBBBBBB","ALL","ALL","BLU",2010
"312",1359136769,"41769JX","NY","999","12/12/2000",47,"VAN","FORD","P",18,18,18,904597,"0018","0000","1130A","","NY","F","787","7 AVE","YYYYYYB","0700A","0700P","",0
"315",1361594639,"691QCL","FL","PAS","12/13/2000",40,"SDN","NISSA","P",9,9,9,944015,"0009","0000","0446P","","NY","O","437","EAST 6TH ST","BBBBBBB","ALL","ALL","SILVE",0
"316",1360438312,"62462JM","NY","COM","12/13/2000",14,"","INT D","P",1,1,1,932365,"0001","0000","0115P","","NY","O","120","BROADWAY","BBBBBBB","ALL","ALL","BROWN",1995
"320",1358869893,"18621MA","NY","COM","12/22/2000",40,"VAN","","P",20,20,20,942506,"0020","0000","0135P","","NY","","","C/O 67","BBBBBBB","ALL","ALL","PURPL",1982
"321",1358909143,"366Y1R","CT","PAS","12/22/2000",14,"SUBN","CHEVR","P",17,17,401,926678,"0401","0000","0209P","","NY","F","16","60 ST","YYYYYYY","ALL","ALL","GRY",0
"327",1361020763,"63577JM","NY","COM","12/24/2000",14,"DELV","FR L","P",17,17,17,947475,"0017","0000","0930A","","NY","O","163","E 52","BBBBBBB","ALL","ALL","B",1996
"330",1360467970,"49715JG","99","PAS","12/26/2000",20,"VAN","","P",2,2,1,947258,"0001","0000","0400P","","NY","F","138","SPRING","YYYYYBB","0800A","0600P","BROWN",0
"333",1360439687,"95304MD","NY","COM","12/27/2000",46,"DELV","FRUEH","P",NA,0,1,950371,"0001","0000","0453P","","NY","O","490","GREENWICH","BBBBBBB","ALL","ALL","",0
"342",1359007039,"17044JZ","NY","COM","01/07/2001",46,"DELV","ISUZU","P",14,14,14,951229,"0014","0000","0849P","","NY","O","366","5TH AVE","BBBBBBB","ALL","ALL","WHITE",2009
"343",1365670053,"63540JM","NY","COM","01/08/2001",19,"VAN","GMC","P",20,20,20,937885,"0020","0000","0711P","","NY","F","50","WEST 72 STREET","BBBBBBB","ALL","0  :A","BROWN",1990
"345",1358925197,"63385JM","NY","COM","01/09/2001",18,"VAN","GMC","X",17,17,401,927373,"0401","0000","0914A","","NY","F","324","E 34 ST","YYYYYBB","0700A","0700P","BN",1988
"347",1358941336,"58696MO","NY","COM","01/11/2001",47,"DELV","GMC","P",18,18,401,919890,"0401","0000","0712A","","NY","F","1375","6TH AVE","BBBBBBB","ALL","ALL","WHITE",2004
"354",1360464529,"49715","NY","COM","01/28/2001",20,"SUBN","GMC","P",1,1,1,932365,"0001","0000","0250P","","NY","O","152","SPRING ST","YYYYYBB","0800A","0600P","BROWN",1996
"358",1366445454,"12821KA","NY","COM","02/04/2001",46,"VAN","FORD","P",19,19,19,932402,"0019","0000","1132A","","NY","F","1309","LEXINGTON AVE","BBBBBBB","0  :","0  :","WH",0
"362",1365557029,"63111JM","NY","COM","02/11/2001",14,"VAN","GMC","P",18,18,18,929923,"0018","0000","0510P","","NY","F","19","W 47 ST","BBBBBBB","ALL","ALL","",0
"364",1358082078,"GAR6295","NY","PAS","02/20/2001",60,"TWOD","MERCU","P",73,73,73,943803,"0073","0000","0101A","","NY","O","563","MOTHER GASTON","BBBBBBB","ALL","ALL","GR",1996
"366",1361751447,"ENF6828","NY","PAS","02/23/2001",20,"SUBN","AUDI","X",13,13,839,111125,"0839","0000","0550P","","NY","O","450","E 20TH ST","BBBBBBB","ALL","ALL","BLACK",2013
"369",1366930484,"63455JM","NY","COM","02/24/2001",18,"VAN","MERCU","P",19,19,19,932402,"0019","0000","0929A","","NY","F","1214","LEXINGTON AVE","YYYYYBB","0700A","1000A","BRN",1997
"370",1359850363,"58683MC","NY","COM","02/25/2001",46,"VAN","FORD","P",19,19,19,936716,"0019","0000","0708A","","NY","F","1251","LEX AVE","BBBBBBB","0  :","0  :","WHITE",2007
"371",1366404415,"94507MD","NY","COM","02/26/2001",46,"DELV","CHEVR","P",28,28,162,954092,"0162","0000","0129P","","NY","O","280","ST NICHOLAS AVE","BBBBBBB","0  :","0  :","WH",1995
"374",1367150334,"63067JM","NY","COM","02/28/2001",45,"DELV","GMC","P",20,20,20,934247,"0020","0000","0440P","","NY","F","185","COLUMBUS AVE","BBBBBBB","0  :","0  :","BRWN",1988
"376",1354030783,"44463JX","NY","COM","03/03/2001",16,"REFR","ISUZU","P",10,10,420,931087,"0420","0000","0602P","","NY","F","60","9TH AVE","BBBBBBB","ALL","ALL","WHITE",2009
"379",1323302761,"49988JG","NY","COM","03/12/2001",20,"VAN","MERCU","P",5,5,5,951543,"0005","0000","0345P","","NY","F","29","HOWARD ST","YYBYYBB","0800A","0600P","BROWN",1997
"380",1358862059,"71115AS","NY","COM","03/24/2001",46,"VAN","CHEVR","P",34,34,34,903106,"0034","0000","1039A","0943","NY","F","30","BOGARDUS PL","BBBBBBB","ALL","ALL","WH",1999
"381",1366163813,"FDE5659","NY","PAS","03/30/2001",17,"SUBN","NISSA","P",17,17,17,948338,"0017","0000","0305P","","NY","F","","C/O EAST 30 STREET","BBBBBBB","ALL","ALL","GREEN",1997
"391",1369602923,"96214JL","NY","COM","04/30/2001",14,"VAN","FORD","P",17,17,17,934164,"0017","0000","0535P","","NY","F","140","E 41 ST","BBBBBBB","ALL","ALL","WHT",1994
"393",1370666275,"14477JY","NY","COM","05/02/2001",46,"DELV","FRUEH","P",19,19,19,932845,"0019","0000","1210P","","NY","O","454","E 84 ST","BBBBBBB","ALL","ALL","WH",2007
"397",1359924220,"1510895","GV","PAS","08/23/2001",19,"DELV","GMC","X",1,1,401,917627,"0401","0000","0401P","","NY","F","25","BROADWAY","BBBBBBB","ALL","ALL","WH",0
"399",1351416054,"48801JU","NY","COM","09/10/2001",14,"VAN","DODGE","X",5,5,5,946574,"0005","0000","1049A","","NY","F","90","ELIZABETH ST","BBBBBBB","ALL","ALL","WHITE",2005
"400",1359522062,"BNC7456","NY","PAS","09/30/2001",40,"SDN","TOYOT","P",20,20,20,935923,"0020","0000","0237A","","NY","F","100","W 78 ST","BBBBBBB","ALL","ALL","GRAY",2002
